Sampling frequency [arb.units]	One ratio [arb.units]	(One ratio - 0.5)\u2\n
2.960000e-01	5.000000e-01	0.000000e+00
2.970000e-01	5.000000e-01	0.000000e+00
2.980000e-01	5.000000e-01	0.000000e+00
2.990000e-01	5.000000e-01	0.000000e+00
3.000000e-01	4.477612e-01	2.728893e-03
3.010000e-01	4.477612e-01	2.728893e-03
3.020000e-01	4.477612e-01	2.728893e-03
3.030000e-01	4.477612e-01	2.728893e-03
3.040000e-01	4.477612e-01	2.728893e-03
3.050000e-01	5.000000e-01	0.000000e+00
3.060000e-01	5.000000e-01	0.000000e+00
3.070000e-01	5.000000e-01	0.000000e+00
3.080000e-01	5.000000e-01	0.000000e+00
3.090000e-01	5.000000e-01	0.000000e+00
3.100000e-01	5.000000e-01	0.000000e+00
3.110000e-01	5.000000e-01	0.000000e+00
3.120000e-01	5.000000e-01	0.000000e+00
3.130000e-01	5.000000e-01	0.000000e+00
3.140000e-01	5.000000e-01	0.000000e+00
3.150000e-01	6.153846e-01	1.331361e-02
3.160000e-01	6.153846e-01	1.331361e-02
3.170000e-01	6.153846e-01	1.331361e-02
3.180000e-01	6.153846e-01	1.331361e-02
3.190000e-01	6.153846e-01	1.331361e-02
3.200000e-01	4.400000e-01	3.600000e-03
3.210000e-01	4.400000e-01	3.600000e-03
3.220000e-01	4.400000e-01	3.600000e-03
3.230000e-01	4.400000e-01	3.600000e-03
3.240000e-01	4.400000e-01	3.600000e-03
3.250000e-01	4.677419e-01	1.040583e-03
3.260000e-01	4.677419e-01	1.040583e-03
3.270000e-01	4.677419e-01	1.040583e-03
3.280000e-01	4.677419e-01	1.040583e-03
3.290000e-01	4.677419e-01	1.040583e-03
3.300000e-01	4.000000e-01	1.000000e-02
3.310000e-01	4.000000e-01	1.000000e-02
3.320000e-01	4.000000e-01	1.000000e-02
3.330000e-01	4.000000e-01	1.000000e-02
3.340000e-01	4.000000e-01	1.000000e-02
3.350000e-01	5.000000e-01	0.000000e+00
3.360000e-01	5.000000e-01	0.000000e+00
3.370000e-01	5.000000e-01	0.000000e+00
3.380000e-01	5.000000e-01	0.000000e+00
3.390000e-01	5.000000e-01	0.000000e+00
3.400000e-01	6.250000e-01	1.562500e-02
3.410000e-01	6.250000e-01	1.562500e-02
3.420000e-01	6.250000e-01	1.562500e-02
3.430000e-01	6.250000e-01	1.562500e-02
3.440000e-01	6.250000e-01	1.562500e-02
3.450000e-01	7.500000e-01	6.250000e-02
3.460000e-01	7.500000e-01	6.250000e-02
3.470000e-01	7.500000e-01	6.250000e-02
3.480000e-01	7.500000e-01	6.250000e-02
3.490000e-01	7.500000e-01	6.250000e-02
3.500000e-01	5.130435e-01	1.701323e-04
3.510000e-01	5.130435e-01	1.701323e-04
3.520000e-01	5.130435e-01	1.701323e-04
3.530000e-01	5.130435e-01	1.701323e-04
3.540000e-01	5.130435e-01	1.701323e-04
3.550000e-01	5.000000e-01	0.000000e+00
3.560000e-01	5.000000e-01	0.000000e+00
3.570000e-01	5.000000e-01	0.000000e+00
3.580000e-01	5.000000e-01	0.000000e+00
3.590000e-01	5.000000e-01	0.000000e+00
3.600000e-01	3.913043e-01	1.181474e-02
3.610000e-01	3.913043e-01	1.181474e-02
3.620000e-01	3.913043e-01	1.181474e-02
3.630000e-01	3.913043e-01	1.181474e-02
3.640000e-01	3.913043e-01	1.181474e-02
3.650000e-01	3.636364e-01	1.859504e-02
3.660000e-01	3.636364e-01	1.859504e-02
3.670000e-01	3.636364e-01	1.859504e-02
3.680000e-01	3.636364e-01	1.859504e-02
3.690000e-01	3.636364e-01	1.859504e-02
3.700000e-01	5.454545e-01	2.066116e-03
3.710000e-01	5.454545e-01	2.066116e-03
3.720000e-01	5.454545e-01	2.066116e-03
3.730000e-01	5.454545e-01	2.066116e-03
3.740000e-01	5.454545e-01	2.066116e-03
3.750000e-01	4.644195e-01	1.265974e-03
3.760000e-01	4.644195e-01	1.265974e-03
3.770000e-01	4.644195e-01	1.265974e-03
3.780000e-01	4.644195e-01	1.265974e-03
3.790000e-01	4.644195e-01	1.265974e-03
3.800000e-01	5.000000e-01	0.000000e+00
3.810000e-01	5.000000e-01	0.000000e+00
3.820000e-01	5.000000e-01	0.000000e+00
3.830000e-01	5.000000e-01	0.000000e+00
3.840000e-01	5.000000e-01	0.000000e+00
3.850000e-01	5.454545e-01	2.066116e-03
3.860000e-01	5.454545e-01	2.066116e-03
3.870000e-01	5.454545e-01	2.066116e-03
3.880000e-01	5.454545e-01	2.066116e-03
3.890000e-01	5.454545e-01	2.066116e-03
3.900000e-01	3.333333e-01	2.777778e-02
3.910000e-01	3.333333e-01	2.777778e-02
3.920000e-01	3.333333e-01	2.777778e-02
3.930000e-01	3.333333e-01	2.777778e-02
3.940000e-01	3.333333e-01	2.777778e-02
3.950000e-01	4.545455e-01	2.066116e-03
3.960000e-01	4.545455e-01	2.066116e-03
3.970000e-01	4.545455e-01	2.066116e-03
3.980000e-01	4.545455e-01	2.066116e-03
3.990000e-01	4.545455e-01	2.066116e-03
4.000000e-01	4.500000e-01	2.500000e-03
4.010000e-01	4.500000e-01	2.500000e-03
4.020000e-01	4.500000e-01	2.500000e-03
4.030000e-01	4.500000e-01	2.500000e-03
4.040000e-01	4.500000e-01	2.500000e-03
4.050000e-01	5.000000e-01	0.000000e+00
4.060000e-01	5.000000e-01	0.000000e+00
4.070000e-01	5.000000e-01	0.000000e+00
4.080000e-01	5.000000e-01	0.000000e+00
4.090000e-01	5.000000e-01	0.000000e+00
4.100000e-01	3.500000e-01	2.250000e-02
4.110000e-01	3.500000e-01	2.250000e-02
4.120000e-01	3.500000e-01	2.250000e-02
4.130000e-01	3.500000e-01	2.250000e-02
4.140000e-01	3.500000e-01	2.250000e-02
4.150000e-01	4.000000e-01	1.000000e-02
4.160000e-01	4.000000e-01	1.000000e-02
4.170000e-01	4.000000e-01	1.000000e-02
4.180000e-01	4.000000e-01	1.000000e-02
4.190000e-01	4.000000e-01	1.000000e-02
4.200000e-01	4.000000e-01	1.000000e-02
4.210000e-01	4.000000e-01	1.000000e-02
4.220000e-01	4.000000e-01	1.000000e-02
4.230000e-01	4.000000e-01	1.000000e-02
4.240000e-01	4.000000e-01	1.000000e-02
4.250000e-01	5.833333e-01	6.944444e-03
4.260000e-01	5.833333e-01	6.944444e-03
4.270000e-01	5.833333e-01	6.944444e-03
4.280000e-01	5.833333e-01	6.944444e-03
4.290000e-01	5.833333e-01	6.944444e-03
4.300000e-01	6.315789e-01	1.731302e-02
4.310000e-01	6.315789e-01	1.731302e-02
4.320000e-01	6.315789e-01	1.731302e-02
4.330000e-01	6.315789e-01	1.731302e-02
4.340000e-01	6.315789e-01	1.731302e-02
4.350000e-01	6.000000e-01	1.000000e-02
4.360000e-01	6.000000e-01	1.000000e-02
4.370000e-01	6.000000e-01	1.000000e-02
4.380000e-01	6.000000e-01	1.000000e-02
4.390000e-01	6.000000e-01	1.000000e-02
4.400000e-01	4.210526e-01	6.232687e-03
4.410000e-01	4.210526e-01	6.232687e-03
4.420000e-01	4.210526e-01	6.232687e-03
4.430000e-01	4.210526e-01	6.232687e-03
4.440000e-01	4.210526e-01	6.232687e-03
4.450000e-01	4.444444e-01	3.086420e-03
4.460000e-01	4.444444e-01	3.086420e-03
4.470000e-01	4.444444e-01	3.086420e-03
4.480000e-01	4.444444e-01	3.086420e-03
4.490000e-01	4.444444e-01	3.086420e-03
4.500000e-01	4.719101e-01	7.890418e-04
4.510000e-01	4.719101e-01	7.890418e-04
4.520000e-01	4.719101e-01	7.890418e-04
4.530000e-01	4.719101e-01	7.890418e-04
4.540000e-01	4.719101e-01	7.890418e-04
4.550000e-01	4.444444e-01	3.086420e-03
4.560000e-01	4.444444e-01	3.086420e-03
4.570000e-01	4.444444e-01	3.086420e-03
4.580000e-01	4.444444e-01	3.086420e-03
4.590000e-01	4.444444e-01	3.086420e-03
4.600000e-01	3.888889e-01	1.234568e-02
4.610000e-01	3.888889e-01	1.234568e-02
4.620000e-01	3.888889e-01	1.234568e-02
4.630000e-01	3.888889e-01	1.234568e-02
4.640000e-01	3.888889e-01	1.234568e-02
4.650000e-01	5.555556e-01	3.086420e-03
4.660000e-01	5.555556e-01	3.086420e-03
4.670000e-01	5.555556e-01	3.086420e-03
4.680000e-01	5.555556e-01	3.086420e-03
4.690000e-01	5.555556e-01	3.086420e-03
4.700000e-01	3.888889e-01	1.234568e-02
4.710000e-01	3.888889e-01	1.234568e-02
4.720000e-01	3.888889e-01	1.234568e-02
4.730000e-01	3.888889e-01	1.234568e-02
4.740000e-01	3.888889e-01	1.234568e-02
4.750000e-01	4.651163e-01	1.216874e-03
4.760000e-01	4.651163e-01	1.216874e-03
4.770000e-01	4.651163e-01	1.216874e-03
4.780000e-01	4.651163e-01	1.216874e-03
4.790000e-01	4.651163e-01	1.216874e-03
4.800000e-01	4.117647e-01	7.785467e-03
4.810000e-01	4.117647e-01	7.785467e-03
4.820000e-01	4.117647e-01	7.785467e-03
4.830000e-01	4.117647e-01	7.785467e-03
4.840000e-01	4.117647e-01	7.785467e-03
4.850000e-01	6.666667e-01	2.777778e-02
4.860000e-01	6.666667e-01	2.777778e-02
4.870000e-01	6.666667e-01	2.777778e-02
4.880000e-01	6.666667e-01	2.777778e-02
4.890000e-01	6.666667e-01	2.777778e-02
4.900000e-01	5.882353e-01	7.785467e-03
4.910000e-01	5.882353e-01	7.785467e-03
4.920000e-01	5.882353e-01	7.785467e-03
4.930000e-01	5.882353e-01	7.785467e-03
4.940000e-01	5.882353e-01	7.785467e-03
4.950000e-01	5.555556e-01	3.086420e-03
4.960000e-01	5.555556e-01	3.086420e-03
4.970000e-01	5.555556e-01	3.086420e-03
4.980000e-01	5.555556e-01	3.086420e-03
4.990000e-01	5.555556e-01	3.086420e-03
5.000000e-01	5.555556e-01	3.086420e-03
5.010000e-01	4.600000e-01	1.600000e-03
5.020000e-01	4.600000e-01	1.600000e-03
5.030000e-01	4.600000e-01	1.600000e-03
5.040000e-01	4.600000e-01	1.600000e-03
5.050000e-01	5.000000e-01	0.000000e+00
5.060000e-01	5.000000e-01	0.000000e+00
5.070000e-01	5.000000e-01	0.000000e+00
5.080000e-01	5.000000e-01	0.000000e+00
5.090000e-01	5.000000e-01	0.000000e+00
5.100000e-01	5.625000e-01	3.906250e-03
5.110000e-01	5.625000e-01	3.906250e-03
5.120000e-01	5.625000e-01	3.906250e-03
5.130000e-01	5.625000e-01	3.906250e-03
5.140000e-01	5.625000e-01	3.906250e-03
5.150000e-01	6.250000e-01	1.562500e-02
5.160000e-01	6.250000e-01	1.562500e-02
5.170000e-01	6.250000e-01	1.562500e-02
5.180000e-01	6.250000e-01	1.562500e-02
5.190000e-01	6.250000e-01	1.562500e-02
5.200000e-01	5.000000e-01	0.000000e+00
5.210000e-01	5.000000e-01	0.000000e+00
5.220000e-01	5.000000e-01	0.000000e+00
5.230000e-01	5.000000e-01	0.000000e+00
