Time [\fm\ns]	x(t)	feedback	x(t-\ft\n)+\ff\n	MZM-out
5.360000e+00	-5.060788e-01	5.608269e-02	-2.394797e-01	5.330264e-01
5.380000e+00	-4.951051e-01	5.589585e-02	-2.400691e-01	5.311787e-01
5.400000e+00	-4.972784e-01	5.614736e-02	-2.393349e-01	5.334803e-01
5.420000e+00	4.481372e-01	1.005402e+00	-2.402499e-01	5.306117e-01
5.440000e+00	4.496370e-01	1.003944e+00	-2.402908e-01	5.304835e-01
5.460000e+00	4.535283e-01	1.006393e+00	-2.401775e-01	5.308386e-01
5.480000e+00	4.535903e-01	1.005658e+00	-2.401486e-01	5.309292e-01
5.500000e+00	4.521065e-01	1.006239e+00	-2.401546e-01	5.309106e-01
5.520000e+00	4.486544e-01	1.005816e+00	-2.400417e-01	5.312645e-01
5.540000e+00	4.506023e-01	1.007230e+00	-2.398504e-01	5.318644e-01
5.560000e+00	4.476849e-01	1.007226e+00	-2.400367e-01	5.312801e-01
5.580000e+00	4.498195e-01	1.002721e+00	-2.407051e-01	5.291843e-01
5.600000e+00	4.543398e-01	1.007931e+00	-2.398297e-01	5.319291e-01
5.620000e+00	1.467545e-01	7.067235e-01	-2.394927e-01	5.329858e-01
5.640000e+00	1.453336e-01	7.040375e-01	-2.403107e-01	5.304210e-01
5.660000e+00	1.438826e-01	7.058402e-01	-2.397943e-01	5.320402e-01
5.680000e+00	1.440440e-01	7.042574e-01	-2.400760e-01	5.311568e-01
5.700000e+00	1.465467e-01	7.050666e-01	-2.399472e-01	5.315609e-01
5.720000e+00	1.517741e-01	7.045917e-01	-2.400656e-01	5.311895e-01
5.740000e+00	1.448415e-01	7.054155e-01	-2.400364e-01	5.312812e-01
5.760000e+00	1.475303e-01	7.053055e-01	-2.399414e-01	5.315789e-01
5.780000e+00	1.410980e-01	7.037536e-01	-2.401695e-01	5.308637e-01
5.800000e+00	1.439219e-01	7.059437e-01	-2.398015e-01	5.320176e-01
5.820000e+00	-2.046953e-01	3.570016e-01	-2.405786e-01	5.295811e-01
5.840000e+00	-2.045937e-01	3.568162e-01	-2.405345e-01	5.297194e-01
5.860000e+00	-1.929136e-01	3.569668e-01	-2.404860e-01	5.298713e-01
5.880000e+00	-2.017380e-01	3.579709e-01	-2.400981e-01	5.310876e-01
5.900000e+00	-1.984075e-01	3.581566e-01	-2.400458e-01	5.312518e-01
5.920000e+00	-1.985533e-01	3.583098e-01	-2.398611e-01	5.318309e-01
5.940000e+00	-1.980005e-01	3.583182e-01	-2.399300e-01	5.316146e-01
5.960000e+00	-1.959560e-01	3.596663e-01	-2.389401e-01	5.347177e-01
5.980000e+00	-1.971410e-01	3.580757e-01	-2.400852e-01	5.311280e-01
6.000000e+00	-2.011542e-01	3.586451e-01	-2.396182e-01	5.325922e-01
6.020000e+00	4.497601e-01	1.006218e+00	-2.400716e-01	5.311709e-01
6.040000e+00	4.491437e-01	1.005769e+00	-2.403107e-01	5.304209e-01
6.060000e+00	4.545050e-01	1.008784e+00	-2.397098e-01	5.323050e-01
6.080000e+00	4.473651e-01	1.008529e+00	-2.397921e-01	5.320472e-01
6.100000e+00	4.547957e-01	1.007775e+00	-2.399939e-01	5.314144e-01
6.120000e+00	4.487460e-01	1.006431e+00	-2.403133e-01	5.304129e-01
6.140000e+00	4.465606e-01	1.007566e+00	-2.397249e-01	5.322576e-01
6.160000e+00	4.467823e-01	1.003908e+00	-2.405805e-01	5.295751e-01
6.180000e+00	4.433522e-01	1.005705e+00	-2.403588e-01	5.302703e-01
6.200000e+00	4.445465e-01	1.007998e+00	-2.399305e-01	5.316131e-01
6.220000e+00	1.443420e-01	7.051143e-01	-2.400446e-01	5.312554e-01
6.240000e+00	1.457104e-01	7.050276e-01	-2.398635e-01	5.318232e-01
6.260000e+00	1.483024e-01	7.046469e-01	-2.401107e-01	5.310480e-01
6.280000e+00	1.465230e-01	7.064769e-01	-2.398025e-01	5.320145e-01
6.300000e+00	1.471019e-01	7.046869e-01	-2.400394e-01	5.312716e-01
6.320000e+00	1.472324e-01	7.022908e-01	-2.406973e-01	5.292086e-01
6.340000e+00	1.456658e-01	7.036480e-01	-2.403295e-01	5.303622e-01
6.360000e+00	1.447746e-01	7.039161e-01	-2.401720e-01	5.308559e-01
